id_c3lab,role,name,id_publicwhip,constituency,party,screen_name,screen_name_cand,screen_name_list,brexit,leave_%
517,mp,Richard Bacon,uk.org.publicwhip/person/10707,South Norfolk,Conservative,,richardbaconmp,richardbaconmp,Leave,56.55
518,mp,Andrea Leadsom,uk.org.publicwhip/person/24829,South Northamptonshire,Conservative,andrealeadsom,andrealeadsom,andrealeadsom,Leave,51.75
519,mp,Seema Kennedy,uk.org.publicwhip/person/25389,South Ribble,Conservative,seemakennedy,seemakennedy,seemakennedy,Remain,54.2
520,mp,Mrs Emma Lewell-Buck,uk.org.publicwhip/person/25181,South Shields,Labour,emmalewellbuck,emmalewellbuck,emmalewellbuck,Remain,62.92
521,mp,Gavin Williamson,uk.org.publicwhip/person/24729,South Staffordshire,Conservative,gwilliamsonmp,gwilliamsonmp,gwilliamsonmp,Remain,62.35
522,mp,James Cartlidge,uk.org.publicwhip/person/25414,South Suffolk,Conservative,jc4southsuffolk,jc4southsuffolk,jc4southsuffolk,Remain,58.14
523,mp,Robert Buckland,uk.org.publicwhip/person/24843,South Swindon,Conservative,robertbuckland,robertbuckland,robertbuckland,Remain,56.94
524,mp,Craig Mackinlay,uk.org.publicwhip/person/25437,South Thanet,Conservative,cmackinlay,cmackinlay,cmackinlay,Leave,59.64
525,mp,Andrew Selous,uk.org.publicwhip/person/11216,South West Bedfordshire,Conservative,andrewselous,andrew_selousmp,"andrewselous,andrew_selousmp",Remain,57.6
526,mp,Gary Streeter,uk.org.publicwhip/person/10575,South West Devon,Conservative,,gary4swdevon,gary4swdevon,Remain,54.28
527,mp,David Gauke,uk.org.publicwhip/person/11633,South West Hertfordshire,Conservative,davidgauke,davidgauke,davidgauke,Remain,43.83
528,mp,Elizabeth Truss,uk.org.publicwhip/person/24941,South West Norfolk,Conservative,trussliz,trussliz,trussliz,Remain,67.62
529,mp,Jeremy Hunt,uk.org.publicwhip/person/11859,South West Surrey,Conservative,jeremy_hunt,jeremy_hunt,jeremy_hunt,Remain,41.64
530,mp,Andrew Murrison,uk.org.publicwhip/person/11132,South West Wiltshire,Conservative,murrisonmp,murrisonmp,murrisonmp,Leave,57.21
531,mp,Royston Smith,uk.org.publicwhip/person/25345,"Southampton, Itchen",Conservative,royston_smith,,royston_smith,Leave,57.29
532,mp,Alan Whitehead,uk.org.publicwhip/person/10630,"Southampton, Test",Labour,alanwhiteheadmp,,alanwhiteheadmp,Remain,48.18
26,mp,David Amess,uk.org.publicwhip/person/10009,Southend West,Conservative,,,,Leave,58.78
533,mp,John Pugh,uk.org.publicwhip/person/11174,Southport,Liberal Democrat,johnpughmp,johnpughmp,johnpughmp,Remain,52.07
534,mp,Kwasi Kwarteng,uk.org.publicwhip/person/24770,Spelthorne,Conservative,,kwasikwarteng,kwasikwarteng,Leave,58.73
